source,method_tier,tier_label,n_samples,papers,Rb_n,Rb_mean,Rb_sd,Rb_min,Rb_max,Sr_n,Sr_mean,Sr_sd,Sr_min,Sr_max,Zr_n,Zr_mean,Zr_sd,Zr_min,Zr_max,Nb_n,Nb_mean,Nb_sd,Nb_min,Nb_max,Y_n,Y_mean,Y_sd,Y_min,Y_max,Fe_n,Fe_mean,Fe_sd,Fe_min,Fe_max,Mn_n,Mn_mean,Mn_sd,Mn_min,Mn_max,Zn_n,Zn_mean,Zn_sd,Zn_min,Zn_max,Ti_n,Ti_mean,Ti_sd,Ti_min,Ti_max,Ba_n,Ba_mean,Ba_sd,Ba_min,Ba_max,Th_n,Th_mean,Th_sd,Th_min,Th_max,Pb_n,Pb_mean,Pb_sd,Pb_min,Pb_max,Ga_n,Ga_mean,Ga_sd,Ga_min,Ga_max,La_n,La_mean,La_sd,La_min,La_max,Ce_n,Ce_mean,Ce_sd,Ce_min,Ce_max,Sm_n,Sm_mean,Sm_sd,Sm_min,Sm_max,Eu_n,Eu_mean,Eu_sd,Eu_min,Eu_max,Yb_n,Yb_mean,Yb_sd,Yb_min,Yb_max,Lu_n,Lu_mean,Lu_sd,Lu_min,Lu_max
HotamisDag,2,ICP-MS/INAA,2,Forster & Grave 2012,2,146.5,10.61,139.0,154.0,2,81.5,26.16,63.0,100.0,2,148.5,45.96,116.0,181.0,2,12.0,0.0,12.0,12.0,2,30.5,2.12,29.0,32.0,0,,,,,0,,,,,2,39.0,8.49,33.0,45.0,0,,,,,0,,,,,2,19.5,3.54,17.0,22.0,2,25.5,4.95,22.0,29.0,2,14.5,0.71,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRUD,0,ALL (combined),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRUD,4,NAA (REE),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1.0,54.8,,54.8,54.8,1.0,56.4,,56.4,56.4,1.0,27.8,,27.8,27.8,1.0,0.66,,0.66,0.66,1.0,27.9,,27.9,27.9,1.0,26.1,,26.1,26.1
KarsArpacay,0,ALL (combined),11,Frahm & Hauck 2017,11,138.7,2.42,135.12,143.03,11,10.26,1.36,8.23,12.39,11,200.02,4.12,195.56,206.42,11,27.66,1.8,25.11,30.7,0,,,,,11,7065.14,140.83,6874.21,7317.35,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KarsArpacay,3,XRF (lab),11,Frahm & Hauck 2017,11,138.7,2.42,135.12,143.03,11,10.26,1.36,8.23,12.39,11,200.02,4.12,195.56,206.42,11,27.66,1.8,25.11,30.7,0,,,,,11,7065.14,140.83,6874.21,7317.35,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KarsDigor,0,ALL (combined),22,Frahm & Hauck 2017,22,114.69,6.2,106.66,125.59,22,108.46,39.27,55.32,144.42,22,149.96,30.91,102.23,186.78,22,15.63,1.66,11.94,18.02,0,,,,,22,7555.96,549.14,6687.69,8088.74,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KarsDigor,3,XRF (lab),22,Frahm & Hauck 2017,22,114.69,6.2,106.66,125.59,22,108.46,39.27,55.32,144.42,22,149.96,30.91,102.23,186.78,22,15.63,1.66,11.94,18.02,0,,,,,22,7555.96,549.14,6687.69,8088.74,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melos Adamas,0,ALL (combined),1,Milic 2014,1,107.5,,107.5,107.5,1,100.0,,100.0,100.0,1,106.5,,106.5,106.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melos Adamas,1,pXRF/EDXRF,1,Milic 2014,1,107.5,,107.5,107.5,1,100.0,,100.0,100.0,1,106.5,,106.5,106.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melos Demenegaki,0,ALL (combined),1,Milic 2014,1,97.0,,97.0,97.0,1,109.5,,109.5,109.5,1,114.5,,114.5,114.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melos Demenegaki,1,pXRF/EDXRF,1,Milic 2014,1,97.0,,97.0,97.0,1,109.5,,109.5,109.5,1,114.5,,114.5,114.5,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeydanDag,0,ALL (combined),38,"Campbell & Healey 2016; Frahm & Hauck 2017; Khalidi, Gratuze & Boucetta 2009",38,201.31,4.86,192.0,212.24,38,20.46,2.89,14.77,27.23,38,269.57,12.13,255.21,305.0,38,30.87,1.96,26.22,36.0,5,55.87,1.89,53.0,58.0,38,9055.3,415.68,8681.0,10738.52,7,513.2,55.37,444.75,610.85,7,81.23,6.7,73.79,93.08,7,509.83,27.35,453.0,542.87,6,23.03,36.93,0.0,84.17,1,25.0,,25.0,25.0,6,31.88,1.59,30.7,34.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeydanDag,1,pXRF/EDXRF,6,Campbell & Healey 2016,6,199.75,5.65,194.36,210.04,6,16.83,1.59,14.77,19.54,6,289.44,6.33,284.13,301.02,6,30.24,2.67,27.49,33.59,4,55.33,1.7,53.0,57.0,6,9854.07,466.71,9436.83,10738.52,6,519.4,57.93,444.75,610.85,6,80.26,6.78,73.79,93.08,6,519.3,12.0,511.01,542.87,5,16.83,37.64,0.0,84.17,0,,,,,6,31.88,1.59,30.7,34.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeydanDag,3,XRF (lab),32,"Frahm & Hauck 2017; Khalidi, Gratuze & Boucetta 2009",32,201.61,4.74,192.0,212.24,32,21.15,2.55,16.0,27.23,32,265.84,8.85,255.21,305.0,32,30.99,1.82,26.22,36.0,1,58.0,,58.0,58.0,32,8905.53,156.38,8681.0,9360.22,1,476.0,,476.0,476.0,1,87.0,,87.0,87.0,1,453.0,,453.0,453.0,1,54.0,,54.0,54.0,1,25.0,,25.0,25.0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mus,0,ALL (combined),5,Campbell & Healey 2016; Carter et al. 2013 (Kenan Tepe); Rosenberg & Carter et al. 2022,5,183.48,6.56,178.76,195.0,5,2.4,4.83,0.0,11.0,5,248.33,8.8,235.01,259.43,5,68.71,10.07,58.63,84.0,4,60.5,4.12,57.0,65.0,5,10130.04,1418.55,9242.0,12628.0,5,439.1,32.2,395.0,476.58,5,118.02,15.38,99.0,142.0,4,470.57,223.82,347.1,806.0,3,39.52,63.32,0.0,112.55,2,23.0,1.41,22.0,24.0,4,37.14,15.25,29.07,60.0,2,26.0,2.83,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mus,1,pXRF/EDXRF,3,Campbell & Healey 2016,3,180.13,1.38,178.76,181.51,3,0.0,0.0,0.0,0.0,3,247.22,12.21,235.01,259.43,3,62.18,3.54,58.63,65.72,2,57.0,0.0,57.0,57.0,3,9593.4,279.98,9313.42,9873.38,3,447.83,28.75,419.08,476.58,3,116.37,0.63,115.73,117.0,3,358.76,11.66,347.1,370.42,2,56.28,79.59,0.0,112.55,0,,,,,3,29.52,0.45,29.07,29.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mus,2,ICP-MS/INAA,2,Carter et al. 2013 (Kenan Tepe); Rosenberg & Carter et al. 2022,2,188.5,9.19,182.0,195.0,2,6.0,7.07,1.0,11.0,2,250.0,1.41,249.0,251.0,2,78.5,7.78,73.0,84.0,2,64.0,1.41,63.0,65.0,2,10935.0,2394.26,9242.0,12628.0,2,426.0,43.84,395.0,457.0,2,120.5,30.41,99.0,142.0,1,806.0,,806.0,806.0,1,6.0,,6.0,6.0,2,23.0,1.41,22.0,24.0,1,60.0,,60.0,60.0,2,26.0,2.83,24.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0,ALL (combined),91,Carter & Shackley 2007; Carter et al. 2006; Carter et al. 2017; Forster & Grave 2012; Frahm & Hauck 2017; Milic 2014; Yellin & Perlman 1980; Yellin & Perlman 1981,89,167.73,10.96,146.0,214.0,89,101.24,8.6,76.0,122.96,89,141.81,8.24,122.59,165.0,88,19.96,2.81,9.0,26.0,80,20.42,2.62,12.0,32.0,42,10280.62,1445.52,7879.56,13711.0,34,491.5,67.14,404.0,668.0,18,51.56,7.46,39.0,71.0,34,1252.65,152.33,1026.0,1760.0,62,640.87,121.29,526.0,923.0,80,30.29,8.73,14.0,54.0,63,27.57,1.02,25.7,32.0,18,17.83,3.26,13.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1,pXRF/EDXRF,46,Carter et al. 2006; Milic 2014,46,163.23,7.0,148.0,188.0,46,95.94,3.4,90.2,108.0,46,145.53,4.55,134.5,158.0,45,20.79,0.78,18.5,22.4,45,20.34,0.57,19.4,22.7,0,,,,,0,,,,,0,,,,,0,,,,,45,568.38,15.45,526.0,599.0,45,25.33,1.15,22.8,28.2,45,27.5,0.71,25.7,28.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,2,ICP-MS/INAA,35,Carter & Shackley 2007; Carter et al. 2017; Forster & Grave 2012,35,173.37,13.56,146.0,214.0,35,104.46,7.79,76.0,120.0,35,140.69,7.96,126.0,165.0,35,19.6,3.97,9.0,26.0,35,20.51,3.94,12.0,32.0,34,10821.35,1006.4,9584.0,13711.0,34,491.5,67.14,404.0,668.0,18,51.56,7.46,39.0,71.0,34,1252.65,152.33,1026.0,1760.0,17,832.76,39.01,763.0,923.0,35,36.66,10.06,14.0,54.0,18,27.72,1.56,26.0,32.0,18,17.83,3.26,13.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,3,XRF (lab),8,Frahm & Hauck 2017,8,168.92,2.93,164.43,174.49,8,117.67,4.05,110.47,122.96,8,125.31,1.9,122.59,127.86,8,16.88,1.43,15.01,18.74,0,,,,,8,7982.52,88.87,7879.56,8146.9,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,4,NAA (REE),2,Yellin & Perlman 1980; Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1.0,174.3,,174.3,174.3,1.0,120.2,,120.2,120.2,1.0,24.1,,24.1,24.1,1.0,11.3,,11.3,11.3,1.0,15.5,,15.5,15.5,1.0,15.4,,15.4,15.4
Nemrut Dağ/Bingöl A,0,ALL (combined),5,Campbell & Healey 2016,5,256.27,22.71,233.1,285.0,5,0.0,0.0,0.0,0.0,5,1400.01,73.11,1275.06,1461.0,5,68.32,5.69,59.3,75.0,0,,,,,5,28264.43,1352.55,26538.71,29778.0,5,594.06,84.65,475.0,711.0,5,228.91,14.15,211.64,250.0,5,1064.99,27.27,1031.0,1105.0,4,60.56,78.3,0.0,164.25,0,,,,,5,42.6,4.3,37.0,49.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemrut Dağ/Bingöl A,1,pXRF/EDXRF,5,Campbell & Healey 2016,5,256.27,22.71,233.1,285.0,5,0.0,0.0,0.0,0.0,5,1400.01,73.11,1275.06,1461.0,5,68.32,5.69,59.3,75.0,0,,,,,5,28264.43,1352.55,26538.71,29778.0,5,594.06,84.65,475.0,711.0,5,228.91,14.15,211.64,250.0,5,1064.99,27.27,1031.0,1105.0,4,60.56,78.3,0.0,164.25,0,,,,,5,42.6,4.3,37.0,49.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NemrutDag,0,ALL (combined),365,Campbell & Healey 2016; Carter et al. 2013 (Kenan Tepe); Carter et al. 2017; Rosenberg & Carter et al. 2022; Yellin & Perlman 1981; Yellin et al. 1996,362,210.69,11.62,189.0,267.57,359,0.29,1.26,0.0,10.0,362,1276.03,44.04,1180.94,1546.0,362,65.1,3.43,53.0,84.0,34,116.91,13.42,94.0,161.0,362,21541.87,2113.64,18773.0,54386.0,362,528.99,66.34,376.0,1221.0,360,189.03,14.39,152.0,319.0,357,903.94,99.8,768.0,2150.0,342,12.92,34.83,0.0,163.0,22,28.68,7.63,23.0,61.0,357,30.46,8.59,20.0,101.0,20,31.3,4.11,25.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NemrutDag,1,pXRF/EDXRF,340,Campbell & Healey 2016,340,209.96,11.16,189.0,267.57,339,0.02,0.23,0.0,4.0,340,1276.8,41.59,1180.94,1414.0,340,64.85,3.07,53.0,72.0,12,102.75,6.76,94.0,117.0,340,21378.17,1180.36,18773.0,26822.45,340,527.79,52.12,426.0,676.0,340,188.8,12.28,156.0,233.0,340,888.79,51.48,768.0,1067.8,339,12.83,34.97,0.0,163.0,0,,,,,340,28.82,3.59,20.0,46.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NemrutDag,2,ICP-MS/INAA,22,Carter et al. 2013 (Kenan Tepe); Carter et al. 2017; Rosenberg & Carter et al. 2022,22,222.09,12.91,194.0,247.0,20,4.99,2.06,2.8,10.0,22,1264.18,72.56,1181.0,1546.0,22,69.05,5.73,61.0,84.0,22,124.64,9.05,115.0,161.0,22,24071.73,6867.92,20524.0,54386.0,22,547.5,177.27,376.0,1221.0,20,192.9,34.72,152.0,319.0,17,1206.88,251.16,1029.0,2150.0,3,22.33,1.15,21.0,23.0,22,28.68,7.63,23.0,61.0,17,63.29,12.81,41.0,101.0,20,31.3,4.11,25.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NemrutDag,4,NAA (REE),3,Yellin & Perlman 1981; Yellin et al. 1996,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,3.0,413.23,28.12,397.0,445.7,3.0,362.97,24.88,348.6,391.7,3.0,142.77,10.85,136.5,155.3,3.0,12.17,3.58,10.1,16.3,3.0,91.8,7.27,87.6,100.2,3.0,85.93,6.81,82.0,93.8
Pasinler,0,ALL (combined),11,Rosenberg & Carter et al. 2022,11,159.91,26.58,131.0,190.0,11,47.64,53.06,0.7,115.0,11,190.36,30.39,176.0,281.0,11,24.36,4.23,19.0,29.0,11,23.55,10.88,12.0,34.0,11,9624.82,2004.69,7406.0,12010.0,11,384.82,32.5,330.0,440.0,11,40.91,4.46,32.0,46.0,0,,,,,0,,,,,11,27.36,5.99,20.0,34.0,0,,,,,11,15.0,1.18,14.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasinler,2,ICP-MS/INAA,11,Rosenberg & Carter et al. 2022,11,159.91,26.58,131.0,190.0,11,47.64,53.06,0.7,115.0,11,190.36,30.39,176.0,281.0,11,24.36,4.23,19.0,29.0,11,23.55,10.88,12.0,34.0,11,9624.82,2004.69,7406.0,12010.0,11,384.82,32.5,330.0,440.0,11,40.91,4.46,32.0,46.0,0,,,,,0,,,,,11,27.36,5.99,20.0,34.0,0,,,,,11,15.0,1.18,14.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarikamis,0,ALL (combined),53,Frahm & Hauck 2017; Rosenberg & Carter et al. 2022,53,133.67,5.44,122.66,146.0,53,23.37,9.52,3.6,30.99,53,121.7,66.27,70.05,286.0,53,15.63,7.0,8.9,31.0,10,48.8,1.23,47.0,51.0,53,6138.4,882.82,5206.72,8411.0,10,633.6,18.53,604.0,663.0,10,62.8,4.02,56.0,71.0,0,,,,,0,,,,,10,18.5,0.85,18.0,20.0,0,,,,,10,16.6,1.26,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarikamis,2,ICP-MS/INAA,10,Rosenberg & Carter et al. 2022,10,141.8,3.08,136.0,146.0,10,4.12,0.37,3.6,4.7,10,256.5,14.19,240.0,286.0,10,29.8,0.63,29.0,31.0,10,48.8,1.23,47.0,51.0,10,7896.5,265.37,7640.0,8411.0,10,633.6,18.53,604.0,663.0,10,62.8,4.02,56.0,71.0,0,,,,,0,,,,,10,18.5,0.85,18.0,20.0,0,,,,,10,16.6,1.26,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarikamis,3,XRF (lab),43,Frahm & Hauck 2017,43,131.78,3.9,122.66,138.76,43,27.85,1.86,21.7,30.99,43,90.36,7.91,70.05,100.82,43,12.34,1.32,8.9,14.89,0,,,,,43,5729.53,206.78,5206.72,6024.36,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevan,0,ALL (combined),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevan,4,NAA (REE),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1.0,130.6,,130.6,130.6,1.0,96.3,,96.3,96.3,1.0,23.8,,23.8,23.8,1.0,10.6,,10.6,10.6,1.0,19.3,,19.3,19.3,1.0,15.9,,15.9,15.9
Sta Nychia,0,ALL (combined),628,Morgan 2015,628,118.64,5.52,98.0,138.0,628,101.95,4.88,83.0,119.0,628,105.66,4.35,85.0,118.0,628,9.14,1.12,5.0,12.0,628,17.74,1.81,12.0,23.0,628,9977.08,633.38,8065.0,13773.0,628,488.77,82.14,253.0,1069.0,628,41.11,8.8,18.0,86.0,628,430.67,113.38,172.0,1398.0,628,697.55,54.18,544.0,892.0,628,11.0,1.56,6.0,16.0,628,23.67,1.98,18.0,33.0,628,15.7,0.86,14.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sta Nychia,1,pXRF/EDXRF,628,Morgan 2015,628,118.64,5.52,98.0,138.0,628,101.95,4.88,83.0,119.0,628,105.66,4.35,85.0,118.0,628,9.14,1.12,5.0,12.0,628,17.74,1.81,12.0,23.0,628,9977.08,633.38,8065.0,13773.0,628,488.77,82.14,253.0,1069.0,628,41.11,8.8,18.0,86.0,628,430.67,113.38,172.0,1398.0,628,697.55,54.18,544.0,892.0,628,11.0,1.56,6.0,16.0,628,23.67,1.98,18.0,33.0,628,15.7,0.86,14.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuphanDag,0,ALL (combined),20,Frahm & Hauck 2017; Rosenberg & Carter et al. 2022,20,151.72,12.39,142.58,203.0,20,17.4,1.42,15.0,20.11,20,97.66,47.72,78.28,298.0,20,11.24,4.98,8.42,32.0,2,42.0,16.97,30.0,54.0,20,8397.27,432.63,7937.77,9888.0,2,394.5,187.38,262.0,527.0,2,57.0,25.46,39.0,75.0,0,,,,,0,,,,,2,19.5,6.36,15.0,24.0,0,,,,,2,16.5,2.12,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuphanDag,2,ICP-MS/INAA,2,Rosenberg & Carter et al. 2022,2,176.5,37.48,150.0,203.0,2,16.0,1.41,15.0,17.0,2,206.0,130.11,114.0,298.0,2,21.0,15.56,10.0,32.0,2,42.0,16.97,30.0,54.0,2,9517.5,523.97,9147.0,9888.0,2,394.5,187.38,262.0,527.0,2,57.0,25.46,39.0,75.0,0,,,,,0,,,,,2,19.5,6.36,15.0,24.0,0,,,,,2,16.5,2.12,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuphanDag,3,XRF (lab),18,Frahm & Hauck 2017,18,148.97,2.95,142.58,153.17,18,17.55,1.37,15.22,20.11,18,85.62,3.84,78.28,91.56,18,10.15,0.98,8.42,12.08,0,,,,,18,8272.8,170.28,7937.77,8493.08,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGD,0,ALL (combined),1,Oddone et al. 1997,1,193.0,,193.0,193.0,1,11.23,,11.23,11.23,1,73.1,,73.1,73.1,0,,,,,0,,,,,1,6900.0,,6900.0,6900.0,1,510.0,,510.0,510.0,0,,,,,1,350.0,,350.0,350.0,1,67.9,,67.9,67.9,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGD,2,ICP-MS/INAA,1,Oddone et al. 1997,1,193.0,,193.0,193.0,1,11.23,,11.23,11.23,1,73.1,,73.1,73.1,0,,,,,0,,,,,1,6900.0,,6900.0,6900.0,1,510.0,,510.0,510.0,0,,,,,1,350.0,,350.0,350.0,1,67.9,,67.9,67.9,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zincirkale,0,ALL (combined),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zincirkale,4,NAA (REE),1,Yellin & Perlman 1981,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,1.0,132.6,,132.6,132.6,1.0,125.1,,125.1,125.1,1.0,52.9,,52.9,52.9,1.0,7.7,,7.7,7.7,1.0,43.7,,43.7,43.7,1.0,38.1,,38.1,38.1
,0,0,41,,39,124.62,82.52,1.0,211.0,37,7.61,7.45,0.2,33.0,39,100.33,196.16,4.0,988.0,35,16.16,12.57,0.5,47.0,24,16.36,26.69,1.0,113.0,40,5353.3,5746.37,90.0,28403.0,24,228.04,179.19,9.0,527.0,24,53.58,59.49,4.0,213.0,0,,,,,0,,,,,24,11.21,9.07,1.0,27.0,0,,,,,24,11.17,9.69,2.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,ALL (combined),80,Campbell & Healey 2016; Carter & Shackley 2007; Carter et al. 2013 (Kenan Tepe); Carter et al. 2017; Schechter et al. 2016,49,146.43,88.75,1.0,318.0,47,10.6,13.2,0.0,58.0,49,208.07,364.21,4.0,1456.0,45,21.4,18.45,0.5,82.0,34,32.91,46.08,1.0,180.0,62,6754.15,8796.57,17.0,43192.0,46,467.92,1310.14,9.0,9000.0,34,70.54,76.38,4.0,307.0,1,1211.62,,1211.62,1211.62,1,17.18,,17.18,17.18,33,15.73,11.55,1.0,43.0,1,36.5,,36.5,36.5,33,15.47,11.73,2.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,pXRF/EDXRF,17,Campbell & Healey 2016; Schechter et al. 2016,10,231.49,56.2,126.0,318.0,10,21.65,22.28,0.0,58.0,10,628.27,546.37,81.0,1456.0,10,39.76,24.19,16.0,82.0,10,72.65,58.98,20.0,180.0,10,19105.96,12195.76,5127.0,43192.0,10,495.73,182.86,276.0,840.0,10,111.23,98.68,18.0,307.0,1,1211.62,,1211.62,1211.62,1,17.18,,17.18,17.18,9,27.8,8.49,14.0,43.0,1,36.5,,36.5,36.5,9,26.94,8.74,13.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,ICP-MS/INAA,22,Carter & Shackley 2007; Carter et al. 2013 (Kenan Tepe); Carter et al. 2017,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,12,1130.5,3163.05,17.0,11100.0,12,924.5,2563.93,17.0,9000.0,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
