object_id,site,locus,basket,n_readings,sides,ungroupable,Rb_ppm,Zr_ppm,Nb_ppm,Fe_ppm,Ti_ppm,Mn_ppm,Rb_Zr,Rb_Nb,Zr_Nb,worst_disagreement_fold,agree_score,cover_score,dirt_score,bal_score,n_score,notes,quality,quality_band
motza | 4037 | 40741,motza,4037,40741,2,dorsal+ventral,False,80.0,60.0,20.0,6005.0,475.0,240.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4037 | 40760,motza,4037,40760,12,dorsal+ventral,False,90.0,60.0,25.0,6440.0,455.0,180.0,1.4642857142857142,3.833333333333333,3.0,1.5,0.7,0.8166666666666668,0.5,0.6333333333333334,1.0,,0.7191666666666666,medium
motza | 4037 | 40866,motza,4037,40866,2,dorsal+ventral,False,90.0,70.0,20.0,6655.0,480.0,165.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,0.6000000000000001,1.0,,0.7649999999999999,high
motza | 4037 | 41026,motza,4037,41026,2,dorsal+ventral,False,90.0,75.0,25.0,10930.0,1310.0,200.0,1.1964285714285714,3.666666666666667,3.083333333333333,1.25,1.0,0.3,0.3,1.0,1.0,,0.72,medium
motza | 4037 | 41026a,motza,4037,41026a,2,dorsal+ventral,False,90.0,65.0,20.0,7100.0,510.0,,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4037 | 41026b,motza,4037,41026b,2,dorsal+ventral,False,110.0,75.0,30.0,8330.0,565.0,265.0,1.4732142857142856,3.6666666666666665,2.5,1.1428571428571428,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4040 | 40664,motza,4040,40664,2,dorsal+ventral,False,95.0,70.0,25.0,7195.0,580.0,170.0,1.3571428571428572,3.916666666666667,2.916666666666667,1.1111111111111112,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4040 | 40665,motza,4040,40665,2,dorsal+ventral,False,90.0,60.0,20.0,5915.0,390.0,155.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4040 | 40687,motza,4040,40687,4,dorsal+ventral,False,80.0,70.0,20.0,9575.0,875.0,120.0,1.1428571428571428,4.0,3.25,1.1666666666666667,1.0,0.6,0.3,0.4,1.0,,0.705,medium
motza | 4040 | 40697a,motza,4040,40697a,2,dorsal+ventral,False,130.0,80.0,35.0,12155.0,780.0,650.0,1.625,3.7916666666666665,2.333333333333333,1.0,1.0,0.3,0.5,0.4,1.0,,0.66,medium
motza | 4040 | 40697b,motza,4040,40697b,2,dorsal+ventral,False,95.0,70.0,30.0,7680.0,730.0,160.0,1.3571428571428572,3.1666666666666665,2.3333333333333335,1.1111111111111112,1.0,0.8,0.3,1.0,1.0,,0.8450000000000001,high
motza | 4040 | 40713,motza,4040,40713,2,dorsal+ventral,False,105.0,70.0,30.0,10045.0,910.0,270.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.3,0.3,0.6000000000000001,1.0,,0.6599999999999999,medium
motza | 4040 | 40714,motza,4040,40714,2,dorsal+ventral,False,95.0,70.0,20.0,8940.0,975.0,160.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4040 | 40729,motza,4040,40729,2,dorsal+ventral,False,90.0,65.0,20.0,6370.0,420.0,205.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4040 | 40743,motza,4040,40743,4,dorsal+ventral,False,85.0,60.0,20.0,6200.0,490.0,130.0,1.4499999999999997,4.25,3.0,1.2857142857142858,1.0,0.6499999999999999,0.5,0.7,1.0,,0.7924999999999999,high
motza | 4040 | 40764,motza,4040,40764,2,dorsal+ventral,False,85.0,60.0,20.0,5915.0,435.0,,1.4166666666666665,4.25,3.0,1.125,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4040 | 40769,motza,4040,40769,2,dorsal+ventral,False,90.0,70.0,20.0,6170.0,455.0,110.0,1.2857142857142856,4.5,3.5,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4040 | 40769CTE,motza,4040,40769CTE,4,dorsal+ventral,False,80.0,55.0,20.0,6550.0,470.0,260.0,1.4666666666666668,4.0,2.75,1.2,1.0,0.6,0.3,0.5,1.0,,0.72,medium
motza | 4040 | 40783,motza,4040,40783,2,dorsal+ventral,False,115.0,75.0,30.0,10350.0,730.0,465.0,1.5357142857142856,3.833333333333333,2.5,1.1428571428571428,1.0,0.3,0.5,0.6000000000000001,1.0,,0.69,medium
motza | 4040 | 40789,motza,4040,40789,4,dorsal+ventral,False,80.0,60.0,20.0,5635.0,405.0,150.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.6000000000000001,1.0,,0.8649999999999999,high
motza | 4040 | 45716,motza,4040,45716,2,dorsal+ventral,False,110.0,80.0,30.0,8765.0,600.0,315.0,1.375,3.6666666666666665,2.6666666666666665,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4046 | 40769,motza,4046,40769,2,dorsal+ventral,False,100.0,70.0,30.0,8825.0,740.0,220.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 40810,motza,4050,40810,2,dorsal+ventral,False,115.0,80.0,30.0,11345.0,815.0,465.0,1.4375,3.833333333333333,2.6666666666666665,1.0909090909090908,1.0,0.3,0.5,0.4,1.0,,0.66,medium
motza | 4050 | 40814,motza,4050,40814,2,dorsal+ventral,False,100.0,100.0,30.0,9015.0,805.0,230.0,1.0101010101010102,3.3333333333333335,3.333333333333333,1.2222222222222223,1.0,0.3,0.5,1.0,1.0,,0.75,high
motza | 4050 | 40816,motza,4050,40816,2,dorsal+ventral,False,90.0,65.0,20.0,6845.0,550.0,,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 4050 | 40822,motza,4050,40822,4,dorsal+ventral,False,85.0,60.0,20.0,7860.0,795.0,190.0,1.4166666666666665,4.25,3.0,1.1666666666666667,1.0,0.8,0.4,0.8999999999999999,1.0,,0.8450000000000001,high
motza | 4050 | 40822CTE,motza,4050,40822CTE,2,dorsal+ventral,False,80.0,65.0,20.0,6530.0,525.0,130.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40822a,motza,4050,40822a,2,dorsal+ventral,False,110.0,70.0,30.0,8315.0,545.0,265.0,1.5714285714285714,3.6666666666666665,2.3333333333333335,1.0,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4050 | 40822b,motza,4050,40822b,2,dorsal+ventral,False,105.0,75.0,30.0,9920.0,1135.0,290.0,1.4017857142857144,3.5,2.5,1.1428571428571428,1.0,0.8,0.3,1.0,1.0,,0.8450000000000001,high
motza | 4050 | 40822c,motza,4050,40822c,2,dorsal+ventral,False,105.0,70.0,30.0,8905.0,830.0,220.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40822d,motza,4050,40822d,2,dorsal+ventral,False,95.0,70.0,30.0,8330.0,675.0,200.0,1.3571428571428572,3.1666666666666665,2.3333333333333335,1.1111111111111112,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4050 | 40822e,motza,4050,40822e,2,dorsal+ventral,False,110.0,75.0,30.0,8805.0,560.0,335.0,1.4732142857142856,3.6666666666666665,2.5,1.1428571428571428,1.0,0.6,0.5,0.6000000000000001,1.0,,0.7649999999999999,high
motza | 4050 | 40822f,motza,4050,40822f,2,dorsal+ventral,False,95.0,70.0,20.0,7920.0,720.0,220.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 40835,motza,4050,40835,4,dorsal+ventral,False,90.0,65.0,25.0,7520.0,585.0,250.0,1.3333333333333333,3.833333333333333,3.0,1.5,0.7,0.45,0.3,0.75,1.0,,0.6149999999999999,medium
motza | 4050 | 40984a,motza,4050,40984a,2,dorsal+ventral,False,120.0,80.0,30.0,12800.0,1070.0,585.0,1.507936507936508,4.0,2.6666666666666665,1.2857142857142858,1.0,0.1,0.5,0.4,1.0,,0.61,medium
motza | 4050 | 40984b,motza,4050,40984b,2,dorsal+ventral,False,85.0,60.0,20.0,6150.0,470.0,130.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.8,0.5,0.9,1.0,,0.86,high
motza | 4050 | 40989,motza,4050,40989,2,dorsal+ventral,False,100.0,70.0,30.0,7325.0,495.0,220.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 40991,motza,4050,40991,2,dorsal+ventral,False,90.0,60.0,20.0,6010.0,505.0,130.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41003,motza,4050,41003,2,dorsal+ventral,False,90.0,75.0,20.0,7875.0,700.0,180.0,1.2053571428571428,4.5,3.75,1.1428571428571428,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4050 | 41005a,motza,4050,41005a,2,dorsal+ventral,False,90.0,70.0,20.0,6410.0,345.0,170.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 41005b,motza,4050,41005b,2,dorsal+ventral,False,95.0,65.0,20.0,7255.0,405.0,140.0,1.4642857142857142,4.75,3.25,1.1666666666666667,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4050 | 41019,motza,4050,41019,2,dorsal+ventral,False,90.0,70.0,20.0,5960.0,340.0,175.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.8,0.5,0.8,1.0,,0.845,high
motza | 4050 | 41021,motza,4050,41021,2,dorsal+ventral,False,90.0,60.0,20.0,6655.0,445.0,180.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.3,0.5,1.0,1.0,,0.75,high
motza | 4050 | 41024,motza,4050,41024,2,dorsal+ventral,False,85.0,65.0,20.0,7410.0,790.0,100.0,1.3214285714285712,4.25,3.25,1.1666666666666667,1.0,0.8,0.3,0.6000000000000001,1.0,,0.785,high
motza | 4050 | 41024a,motza,4050,41024a,2,dorsal+ventral,False,85.0,60.0,20.0,7150.0,630.0,125.0,1.4166666666666665,4.25,3.0,1.125,1.0,0.6,0.4,0.8,1.0,,0.78,high
motza | 4050 | 41024b,motza,4050,41024b,2,dorsal+ventral,False,95.0,75.0,25.0,9745.0,1080.0,140.0,1.2767857142857144,3.916666666666667,3.166666666666667,1.1428571428571428,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4050 | 41024c,motza,4050,41024c,2,dorsal+ventral,False,100.0,70.0,25.0,8875.0,930.0000000000001,165.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41031a,motza,4050,41031a,2,dorsal+ventral,False,90.0,65.0,20.0,5845.0,330.0,125.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4050 | 41031b,motza,4050,41031b,2,dorsal+ventral,False,95.0,70.0,20.0,6605.0,375.0,185.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 41031c,motza,4050,41031c,2,dorsal+ventral,False,90.0,60.0,20.0,6365.0,400.0,140.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.8,0.4,0.8,1.0,,0.8300000000000001,high
motza | 4050 | 41037,motza,4050,41037,6,dorsal+ventral,False,90.0,60.0,20.0,6820.0,570.0,220.0,1.4285714285714286,4.0,3.0,1.25,1.0,0.49999999999999994,0.4666666666666666,0.8333333333333334,1.0,,0.7699999999999999,high
motza | 4050 | 41042,motza,4050,41042,2,dorsal+ventral,False,100.0,70.0,25.0,10345.0,1460.0,255.0,1.4285714285714286,4.166666666666667,2.916666666666667,1.0,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 4050 | 41042a,motza,4050,41042a,2,dorsal+ventral,False,95.0,75.0,25.0,8755.0,945.0,165.0,1.2678571428571428,3.916666666666667,3.083333333333333,1.1428571428571428,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 41042b,motza,4050,41042b,2,dorsal+ventral,False,110.0,80.0,30.0,9820.0,950.0,275.0,1.375,3.6666666666666665,2.6666666666666665,1.0,1.0,0.6,0.4,1.0,1.0,,0.81,high
motza | 4050 | 41047,motza,4050,41047,2,dorsal+ventral,False,115.0,75.0,30.0,9825.0,825.0,290.0,1.5357142857142856,3.833333333333333,2.5,1.1428571428571428,1.0,0.6,0.3,0.8,1.0,,0.765,high
motza | 4050 | 41053a,motza,4050,41053a,4,dorsal+ventral,False,90.0,65.0,20.0,6710.0,445.0,180.0,1.380952380952381,4.0,3.0,1.375,0.7,0.6499999999999999,0.5,1.0,1.0,,0.7324999999999999,medium
motza | 4050 | 41053b,motza,4050,41053b,4,dorsal+ventral,False,80.0,60.0,20.0,5960.0,385.0,170.0,1.3333333333333333,4.0,3.0,1.1666666666666667,1.0,0.8,0.5,0.95,1.0,,0.8674999999999999,high
motza | 4050 | 41055,motza,4050,41055,2,dorsal+ventral,False,80.0,60.0,20.0,5620.0,345.0,,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4050 | 41058,motza,4050,41058,2,dorsal+ventral,False,95.0,70.0,25.0,6710.0,460.0,165.0,1.3571428571428572,4.0,2.916666666666667,1.1111111111111112,1.0,1.0,0.5,0.6000000000000001,1.0,,0.8649999999999999,high
motza | 4050 | 41061,motza,4050,41061,2,dorsal+ventral,False,90.0,60.0,20.0,6220.0,410.0,135.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.5,0.8,1.0,,0.7949999999999999,high
motza | 4050 | 41067,motza,4050,41067,4,dorsal+ventral,False,90.0,60.0,20.0,5935.0,415.0,160.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.7000000000000001,0.5,0.8999999999999999,1.0,,0.835,high
motza | 4050 | 41070A,motza,4050,41070A,2,dorsal+ventral,False,100.0,75.0,25.0,10385.0,1135.0,270.0,1.3392857142857144,4.166666666666667,3.166666666666667,1.1428571428571428,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4050 | 41070b,motza,4050,41070b,2,dorsal+ventral,False,125.0,90.0,30.0,12310.0,995.0,505.0,1.3888888888888888,4.166666666666666,2.9999999999999996,1.0833333333333333,1.0,1.0,0.4,0.4,1.0,,0.82,high
motza | 4050 | 41085a,motza,4050,41085a,2,dorsal+ventral,False,90.0,65.0,20.0,6745.0,465.0,140.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4050 | 41085b,motza,4050,41085b,2,dorsal+ventral,False,100.0,70.0,30.0,7430.0,505.0,225.0,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.0,1.0,1.0,0.5,0.4,1.0,,0.8349999999999999,high
motza | 4050 | 41095a,motza,4050,41095a,2,dorsal+ventral,False,90.0,60.0,20.0,7665.0,595.0,180.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 41095b,motza,4050,41095b,2,dorsal+ventral,False,105.0,70.0,30.0,8625.0,560.0,290.0,1.5,3.5,2.3333333333333335,1.1,1.0,0.6,0.5,1.0,1.0,,0.825,high
motza | 4050 | 41095c,motza,4050,41095c,2,dorsal+ventral,False,100.0,75.0,30.0,7110.0,490.0,165.0,1.3392857142857144,3.3333333333333335,2.5,1.1428571428571428,1.0,0.6,0.5,0.4,1.0,,0.735,medium
motza | 4050 | 41097BS,motza,4050,41097BS,2,dorsal+ventral,False,100.0,65.0,25.0,8375.0,790.0,205.0,1.5476190476190477,4.166666666666667,2.666666666666667,1.1666666666666667,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 41106,motza,4050,41106,2,dorsal+ventral,False,90.0,60.0,20.0,6220.0,425.0,120.0,1.4999999999999998,4.5,3.0,1.0,1.0,0.8,0.5,0.9,1.0,,0.86,high
motza | 4050 | 41113a,motza,4050,41113a,3,dorsal+ventral,False,100.0,70.0,30.0,7930.0,270.0,,1.4285714285714286,3.3333333333333335,2.3333333333333335,1.1111111111111112,1.0,0.6,0.3,0.6,1.0,,0.735,medium
motza | 4050 | 4113b,motza,4050,4113b,2,dorsal+ventral,False,100.0,70.0,20.0,7345.0,500.0,195.0,1.4285714285714286,5.0,3.5,1.0,1.0,0.6,0.3,1.0,1.0,,0.795,high
motza | 4050 | 41160,motza,4050,41160,2,dorsal+ventral,False,95.0,70.0,25.0,10315.0,1225.0,210.0,1.3571428571428572,3.916666666666667,2.916666666666667,1.1111111111111112,1.0,0.6,0.3,0.9,1.0,,0.78,high
motza | 4050 | 41204a,motza,4050,41204a,2,dorsal+ventral,False,90.0,70.0,25.0,6475.0,440.0,120.0,1.2857142857142856,3.75,2.916666666666667,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4050 | 41204b,motza,4050,41204b,2,dorsal+ventral,False,90.0,65.0,20.0,6265.0,395.0,170.0,1.3928571428571428,4.5,3.25,1.1666666666666667,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4051 | 40802,motza,4051,40802,4,dorsal+ventral,False,80.0,60.0,20.0,5975.0,475.0,,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4052 | 40831,motza,4052,40831,4,dorsal+ventral,False,80.0,60.0,20.0,5640.0,380.0,225.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4052 | 40831a,motza,4052,40831a,2,dorsal+ventral,False,110.0,75.0,30.0,9725.0,780.0,275.0,1.4732142857142856,3.6666666666666665,2.5,1.1428571428571428,1.0,0.3,0.4,0.9,1.0,,0.72,medium
motza | 4052 | 40831b,motza,4052,40831b,2,dorsal+ventral,False,90.0,70.0,20.0,8800.0,920.0,170.0,1.2857142857142856,4.5,3.5,1.0,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4052 | 40848,motza,4052,40848,6,dorsal+ventral,False,80.0,65.0,20.0,7135.0,720.0,110.0,1.2380952380952381,4.0,3.25,1.1666666666666667,1.0,0.6,0.5,0.5333333333333333,1.0,,0.7549999999999999,high
motza | 4052 | 40866,motza,4052,40866,2,dorsal+ventral,False,85.0,65.0,20.0,6015.0,435.0,120.0,1.3214285714285712,4.25,3.25,1.1666666666666667,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4052 | 40871a,motza,4052,40871a,2,dorsal+ventral,False,85.0,65.0,20.0,10070.0,1320.0,185.0,1.3095238095238093,4.25,3.25,1.1666666666666667,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4052 | 40871b,motza,4052,40871b,2,dorsal+ventral,False,100.0,70.0,20.0,7745.0,660.0,215.0,1.4285714285714286,5.0,3.5,1.0,1.0,0.8,0.3,1.0,1.0,,0.8450000000000001,high
motza | 4052 | 40874a,motza,4052,40874a,2,dorsal+ventral,False,95.0,70.0,25.0,7235.0,510.0,185.0,1.3571428571428572,4.0,2.916666666666667,1.1111111111111112,1.0,0.8,0.5,1.0,1.0,,0.875,high
motza | 4052 | 40874b,motza,4052,40874b,2,dorsal+ventral,False,80.0,60.0,20.0,6300.0,585.0,135.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.4,0.4,1.0,,0.82,high
motza | 4052 | 40884,motza,4052,40884,4,dorsal+ventral,False,85.0,65.0,20.0,6165.0,445.0,145.0,1.3095238095238093,4.25,3.25,1.3333333333333333,0.7,0.8,0.4,0.8,1.0,,0.7249999999999999,medium
motza | 4052 | 40902,motza,4052,40902,4,dorsal+ventral,False,90.0,70.0,20.0,7120.0,630.0,170.0,1.3125,4.5,3.5,1.3333333333333333,0.7,0.55,0.4,0.8500000000000001,1.0,,0.6699999999999999,medium
motza | 4052 | 40902a,motza,4052,40902a,4,dorsal+ventral,False,100.0,70.0,25.0,8930.0,930.0,230.0,1.4375,4.083333333333333,2.833333333333333,1.3333333333333333,0.7,0.45,0.4,0.6,1.0,,0.6074999999999999,medium
motza | 4052 | 40902b,motza,4052,40902b,4,dorsal+ventral,False,95.0,70.0,25.0,7730.0,665.0,300.0,1.3333333333333333,3.833333333333333,3.0,1.6666666666666667,0.3,0.6499999999999999,0.4,0.5,1.0,"SUSPICIOUS: readings disagree 1.67x, all plausible",0.5025,low
motza | 4052 | 40918,motza,4052,40918,2,dorsal+ventral,False,85.0,65.0,20.0,6975.0,525.0,180.0,1.3095238095238093,4.25,3.25,1.1666666666666667,1.0,0.6,0.3,0.9,1.0,,0.78,high
motza | 4052 | 40935,motza,4052,40935,2,dorsal+ventral,False,100.0,75.0,30.0,10045.0,1019.9999999999999,210.0,1.3303571428571428,3.333333333333333,2.5,1.2222222222222223,1.0,0.3,0.4,0.9,1.0,,0.72,medium
motza | 4052 | 40935a,motza,4052,40935a,2,dorsal+ventral,False,95.0,60.0,30.0,7055.0,485.0,210.0,1.5833333333333333,3.1666666666666665,2.0,1.1111111111111112,1.0,0.6,0.5,0.9,1.0,,0.8099999999999999,high
motza | 4052 | 40935b,motza,4052,40935b,2,dorsal+ventral,False,95.0,70.0,20.0,6555.0,465.0,190.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,0.6,0.4,0.8,1.0,,0.78,high
motza | 4052 | 40935c,motza,4052,40935c,2,dorsal+ventral,False,90.0,60.0,20.0,5665.0,355.0,165.0,1.4999999999999998,4.5,3.0,1.0,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4052 | 40953,motza,4052,40953,2,dorsal+ventral,False,75.0,60.0,20.0,5520.0,410.0,320.0,1.25,3.75,3.0,1.1428571428571428,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4053 | 40945a,motza,4053,40945a,2,dorsal+ventral,False,95.0,65.0,20.0,9635.0,1105.0,230.0,1.4642857142857142,4.75,3.25,1.1666666666666667,1.0,0.3,0.3,0.9,1.0,,0.705,medium
motza | 4053 | 40945b,motza,4053,40945b,2,dorsal+ventral,False,95.0,70.0,20.0,7010.0,515.0,170.0,1.3571428571428572,4.75,3.5,1.1111111111111112,1.0,1.0,0.5,1.0,1.0,,0.9249999999999999,high
motza | 4058 | 40916BS,motza,4058,40916BS,2,dorsal+ventral,False,100.0,75.0,25.0,10570.0,1285.0,285.0,1.3303571428571428,4.083333333333333,3.083333333333333,1.2222222222222223,1.0,0.1,0.3,0.9,1.0,,0.6549999999999999,medium
motza | 4059 | 40977,motza,4059,40977,2,dorsal+ventral,False,95.0,60.0,25.0,7075.0,485.0,170.0,1.5833333333333333,3.916666666666667,2.5,1.1111111111111112,1.0,0.3,0.4,0.9,1.0,,0.72,medium
motza | 4059 | 40977CTE,motza,4059,40977CTE,2,dorsal+ventral,False,95.0,70.0,25.0,10035.0,1070.0,255.0,1.3571428571428572,3.916666666666667,2.916666666666667,1.1111111111111112,1.0,0.3,0.4,1.0,1.0,,0.735,medium
motza | 4059 | 41009a,motza,4059,41009a,2,dorsal+ventral,False,85.0,60.0,20.0,6220.0,445.0,,1.4166666666666665,4.25,3.0,1.125,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4059 | 41009b,motza,4059,41009b,2,dorsal+ventral,False,90.0,70.0,20.0,6080.0,405.0,130.0,1.2857142857142856,4.5,3.5,1.0,1.0,1.0,0.5,0.8,1.0,,0.8949999999999999,high
motza | 4060 | 40997,motza,4060,40997,2,dorsal+ventral,False,80.0,60.0,20.0,6375.0,495.0,245.0,1.3333333333333333,4.0,3.0,1.0,1.0,1.0,0.4,1.0,1.0,,0.9099999999999999,high
